#, TP, FP, FN, LesionNum
278, 0, 190, 0, 0
279, 0, 398, 1, 1
280, 1, 289, 0, 1
281, 0, 320, 2, 2
282, 0, 199, 0, 0
283, 0, 201, 0, 0
284, 1, 118, 1, 2
285, 3, 203, 0, 2
286, 1, 478, 0, 1
287, 1, 169, 0, 1
288, 0, 71, 0, 0
289, 0, 172, 2, 2
290, 0, 165, 0, 0
291, 0, 160, 0, 0
292, 0, 164, 0, 0
293, 0, 299, 0, 0
294, 2, 153, 0, 1
295, 0, 164, 0, 0
296, 0, 129, 0, 0
297, 0, 177, 0, 0
298, 0, 144, 0, 0
299, 0, 256, 0, 0
300, 2, 187, 0, 1
301, 0, 257, 0, 0
302, 0, 309, 0, 0
303, 2, 276, 0, 1
304, 5, 209, 3, 7
305, 0, 153, 0, 0
306, 0, 276, 0, 0
307, 0, 125, 0, 0
308, 0, 142, 0, 0
309, 0, 172, 0, 0
310, 3, 413, 0, 3
314, 0, 155, 1, 1
315, 0, 503, 2, 2
316, 0, 158, 0, 0
