#, TP, FP, FN, LesionNum
228, 2, 47, 1, 3
229, 0, 34, 0, 0
230, 1, 32, 0, 1
231, 2, 48, 0, 1
232, 0, 86, 1, 1
233, 2, 51, 1, 3
234, 0, 23, 1, 1
235, 0, 46, 0, 0
236, 0, 48, 1, 1
237, 0, 34, 0, 0
238, 9, 178, 2, 6
239, 0, 124, 2, 2
240, 1, 68, 1, 2
241, 0, 49, 0, 0
242, 0, 30, 0, 0
243, 0, 32, 1, 1
244, 0, 49, 0, 0
245, 0, 51, 1, 1
246, 0, 28, 0, 0
247, 1, 39, 1, 2
248, 5, 137, 4, 8
250, 1, 201, 1, 2
251, 0, 22, 0, 0
252, 0, 45, 5, 5
253, 0, 32, 0, 0
254, 0, 125, 1, 1
255, 1, 98, 1, 2
256, 3, 188, 0, 1
257, 0, 51, 0, 0
258, 3, 29, 1, 2
259, 0, 41, 0, 0
261, 0, 16, 0, 0
262, 0, 34, 1, 1
263, 1, 32, 0, 1
264, 0, 90, 2, 2
265, 6, 60, 0, 2
266, 0, 41, 0, 0
267, 0, 46, 0, 0
268, 0, 67, 4, 4
269, 0, 50, 0, 0
270, 0, 148, 0, 0
271, 1, 41, 0, 1
272, 4, 55, 5, 8
273, 0, 36, 0, 0
274, 3, 59, 2, 4
275, 0, 42, 0, 0
276, 6, 54, 0, 3
277, 13, 41, 0, 2
278, 0, 52, 0, 0
279, 2, 124, 2, 3
280, 1, 68, 1, 2
281, 0, 99, 3, 3
282, 0, 40, 0, 0
283, 0, 55, 1, 1
284, 1, 28, 1, 2
285, 2, 49, 0, 2
286, 1, 117, 0, 1
287, 1, 42, 0, 1
288, 1, 18, 1, 2
289, 0, 46, 2, 2
290, 0, 38, 0, 0
291, 0, 50, 0, 0
292, 0, 51, 0, 0
293, 0, 92, 1, 1
294, 3, 37, 0, 2
295, 0, 39, 1, 1
296, 0, 33, 0, 0
297, 0, 61, 0, 0
298, 0, 39, 0, 0
299, 0, 71, 0, 0
300, 2, 49, 0, 1
301, 0, 69, 0, 0
302, 0, 97, 1, 1
303, 8, 61, 0, 4
304, 5, 50, 5, 9
305, 0, 43, 0, 0
306, 0, 154, 0, 0
307, 0, 44, 0, 0
308, 0, 39, 0, 0
309, 0, 33, 0, 0
310, 2, 161, 1, 3
311, 0, 30, 0, 0
312, 0, 123, 0, 0
313, 5, 198, 1, 3
314, 0, 28, 1, 1
315, 0, 149, 3, 3
316, 0, 38, 0, 0
317, 0, 54, 0, 0
318, 0, 128, 1, 1
319, 9, 23, 1, 4
320, 4, 96, 0, 1
